Name,PHILIPPINES (100%),NCR (11%),BALANCE LUZON (45%),VISAYAS (20%),MINDANAO (24%),NCR (11%),CAR (2%),Region 1 (5%),Region 2 (3%),Region 3 (11%),Region 4A (14%),Region 4B (3%),Region 5 (6%),Region 6 (5%),Region 7 (6%),Region 8 (5%),Negros Island Region (4%),Region 9 (4%),Region 10 (5%),Region 11 (5%),Region 12 (4%),Region 13/Caraga (3%),BARMM (3%)
GO,58.1,50.7,39.8,66.3,90,50.7,61.9,21.9,58.8,36,49.1,25,31,42.2,85.2,55.4,75.7,88.6,85.9,99.1,81.7,91.7,83.8
TULFO E.,56.6,54.8,54.7,65.9,53.2,54.8,56,50.7,81.9,49.6,55,51.7,52.6,70.3,74.9,44.6,71.3,60.7,43.9,65.3,40.1,59.6,66.8
SOTTO,49,59.4,50,56.1,36.5,59.4,22.9,47.1,69.3,49.6,53.9,33,49,52.5,64.8,42.3,61.8,50.4,44.2,30.5,32.3,39.8,41.6
REVILLA,46.1,41.2,41.2,53.5,51.5,41.2,49.7,33.3,46.6,39.1,45.7,37.2,38,59.6,60.5,40.4,51.1,59.3,43.9,38.1,39,78.9,63.8
DELA ROSA,44.3,29.6,20.6,50.7,90,29.6,44.8,13.4,13.2,15.9,26.1,18.5,21.4,18.4,78.3,37.7,57.8,90.4,86.8,98.9,84,89.2,88.8
REVILLAME,42.3,24.2,31.5,47.5,66.2,24.2,18.9,20.6,24,33.5,34.3,40.2,34.2,50.4,59.6,27.3,48.5,50,63.6,68,71,83.6,67.8
TULFO B.,40.7,44.4,39.8,42.9,39,44.4,36.5,32.1,48,35.1,43.5,32.4,46.3,49.2,41.9,21.6,60.7,40,37.3,32.4,33.9,53.5,43.3
PACQUIAO,39.9,38.9,27.7,54.4,51,38.9,31.9,22.4,39.1,20.6,30.9,15.1,36.8,50.7,47.1,46.6,76.7,57.5,61.1,29.4,52.3,55.3,55.6
LAPID,39.4,37.1,35.9,43.7,43.5,37.1,31.4,23.9,23.9,40.4,44.4,39.1,24.4,56.7,34.5,32.4,55.5,60.4,41.7,33.1,36.9,49.6,46.1
BINAY,37.6,47.6,34.7,49.7,28.4,47.6,27.9,25.7,73.1,32.7,33.3,30.3,31.9,52.5,58.4,35.9,49.1,48.9,32.8,15.7,27.5,21.7,31.8
CAYETANO,37.5,40.1,33.6,46.8,35.6,40.1,7.7,30.7,57.2,25.8,38.3,36.5,31.9,52.3,50.3,27.4,56.9,41.5,34.9,35.6,39.3,48.6,13.7
VILLAR,36.6,30.9,26.6,52.6,44.5,30.9,23.6,24.1,46.4,22.3,25.3,34.6,25.4,61.8,63.1,26.3,56.1,45.8,28.9,48.3,30.5,50.5,26.9
LACSON,35.8,52.2,32.4,34.5,35.5,52.2,16.6,23.6,23.6,30.5,37.8,31.1,41.1,40,28.8,27.9,44.1,40,34.6,30,32.5,58.6,16.5
MARCOS,30.9,35.9,35.1,36.1,16.4,35.9,47,36.5,76.6,25.4,31.3,39.7,31.9,18.6,35.1,42.8,48.5,23.2,18.6,6.5,18.2,20.8,15.6
AQUINO,26.4,22.3,25.9,38.8,19,22.3,6.2,13.9,20.8,28.3,18.9,18.7,41.7,52.8,42.2,22.7,36.7,32.4,19.9,9.1,21.7,11.2,18.1
PANGILINAN,25,22.2,17.8,43.4,24.3,22.2,23.3,8.4,15.2,16.5,23.9,5.7,27.6,63.1,32.5,22.8,61,23.4,26.9,17.6,29.8,43.8,10.1
ABALOS,23,37.7,25.7,23.4,10.7,37.7,26.5,18.6,23.1,33.3,26.4,21.6,19.3,8.2,31.3,11.5,40.4,19,12.4,3.1,26.1,8.5,19.2
SALVADOR,20.7,10.8,7.9,18.4,50.9,10.8,5.2,7.5,8.5,10.5,7,2.9,8.5,11.8,26.9,14.9,16.9,20.1,56.5,71.9,63.7,50.5,37.1
HONASAN,19.7,19.1,18.7,16.6,24.5,19.1,4.4,16,29.6,16.3,20.8,4.6,25.3,17.7,20.1,11.8,16.6,29.9,28.4,27.8,25.5,21.1,26
TOLENTINO,18,25,10.3,28.7,20.2,25,0.6,11,9.6,16.5,7.8,3,10.4,29.7,40.9,15.2,24.7,34.3,24.2,8.3,25.8,21.3,10.4
MARCOLETA,16.1,12.1,7.1,5.3,43.9,12.1,10.2,9.3,6.2,9.7,7.1,4.7,1,1.8,11.7,2.6,2.3,27.4,36.4,73,52.1,35.8,29.5
BONDOC,11.8,7.4,4.3,6.5,32.1,7.4,9.2,5.7,3.8,4.3,4.3,0.3,4,2,12.5,6.7,2.3,11.6,20.1,59.8,51,8.7,31.8
BOSITA,11.3,20.6,14.4,4.4,7.1,20.6,20,17.2,18.5,10.1,14.2,21.2,13.2,1,9.8,2.5,2.1,9.4,0,3.4,4.6,9.5,7.3
RODRIGUEZ,8.7,5,2.5,3.3,26.5,5,12.2,1.9,1.8,0.8,2.2,2.9,4.4,6.8,4.3,0.6,2.6,21.3,21.2,36.7,33.4,18.2,4.9
LAMBINO,7,4.2,1.3,2.7,22.5,4.2,1.2,4.8,5,3.6,1.7,0.6,1,1.9,6.9,0.6,1.5,6.2,4.3,51.7,35.9,14.5,15.5
QUIBOLOY,6.8,4.2,1.2,3.5,21.2,4.2,0,2.5,6.3,2.3,1.6,0,1,0,6.2,4.1,1.9,2.6,7.1,47.3,36.9,8.4,17.7
HINLO,6.4,2.1,0.7,2,23,2.1,0,0.4,1.8,0,1.5,0.3,1,0,4.3,0.4,2.5,3.4,5.4,60.7,37.4,3.6,16.1
QUERUBIN,3.7,3.9,2,2.8,7.6,3.7,2.1,1.2,1.3,2.3,4.5,0,0.7,1.9,0,4.1,3,20.2,5,3.4,1.7,3.5,6
MATA,2.6,3.7,1.6,1.3,9.2,0,0,0,0,0,1.3,0,0,0,0,0,0,5.8,7.1,16.6,6.9,1.5,4.3
MENDOZA,2,2.8,0.9,2.8,3.1,2.8,0,1.2,1.1,1.3,1.2,0.7,0,2.4,4.5,1.8,1.7,4,3.9,0,7.4,2,0
CASINO,1.9,3.2,2,1.9,4.3,3.2,2.1,2.5,5.2,1.2,1.8,0,1.7,2.5,3.5,0,0,0,0,5.1,3,2.6,3.1
DE GUZMAN,1.8,3.9,0.8,3.2,2.8,3.9,0,1.1,0.4,2.1,0,0,0.7,3.2,2.8,4.1,2.9,0,0,1.9,3.3,0,0
CASTRO,1.6,1.5,0.8,2.3,2.6,0,0,0.4,2.6,0,1.7,0,0.3,0,0,0.6,6,3.8,3.6,2.8,2.9,0,0
MARTINEZ,1.3,6.7,0,0,0,6.7,0,0,1.3,0,0,0,0.7,0,0,0,0,3.8,0,0,3.8,0,1.2
ESPIRITU,1.3,2.6,1.6,0,0,2.6,0,1.1,0.4,3.5,1.7,0,0.2,0.4,0,0,0,0,3,0,0,0,0
LIDASAN,1.2,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,1.9,5.3,8.2,0,0,26.5
